,Unnamed: 0,image,atributes,categories,stage,img_norm_r
0,0,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0293 (13).TIF,[],['cotton wool spots'],3,0.37477148
1,1,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0257 (10).TIF,[],['cotton wool spots'],3,0.44286546
2,2,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0010 (7).TIF,[],['cotton wool spots'],4,0.22489336
3,3,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0507 (4).TIF,[],['cotton wool spots'],3,0.4637497
4,4,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0256 (12).TIF,[],['cotton wool spots'],2,0.6948786
5,5,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0207 (11).TIF,[],['cotton wool spots'],3,0.42628148
6,6,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0300 (5).TIF,[],['cotton wool spots'],3,0.31734836
7,7,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0392 (6).TIF,[],['cotton wool spots'],3,0.28626722
8,8,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0487 (7).TIF,[],['cotton wool spots'],3,0.4699554
9,9,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0216 (4).TIF,[],['cotton wool spots'],2,0.5679328
10,10,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0412 (7).TIF,[],['cotton wool spots'],3,0.39610186
11,11,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0109.TIF,[],['cotton wool spots'],3,0.37092116
12,12,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0622 (3).TIF,[],['cotton wool spots'],3,0.26688316
13,13,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0163 (10).TIF,[],['cotton wool spots'],3,0.44943506
14,14,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0648 (2).TIF,[],['cotton wool spots'],2,0.5458234
15,15,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0592 (5).TIF,[],['cotton wool spots'],3,0.42842108
16,16,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0860 (2).TIF,[],['cotton wool spots'],4,0.2450866
17,17,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0510 (3).TIF,[],['cotton wool spots'],1,0.96017087
18,18,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0033 (8).TIF,[],['cotton wool spots'],1,0.8478397
19,19,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/B (79).TIF,[],['cotton wool spots'],3,0.42668077
20,20,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0169 (2).TIF,[],['cotton wool spots'],4,0.22237729
21,21,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0291 (13).TIF,[],['cotton wool spots'],3,0.44400305
22,22,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0048.TIF,[],['cotton wool spots'],4,0.20588721
23,23,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0073 (6).TIF,[],['cotton wool spots'],3,0.45686188
24,24,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0488 (6).TIF,[],['cotton wool spots'],3,0.31680492
25,25,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0348 (11).TIF,[],['cotton wool spots'],3,0.49967858
26,26,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0509 (4).TIF,[],['cotton wool spots'],3,0.29773408
27,27,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0773 (2).TIF,[],['cotton wool spots'],3,0.33867067
28,28,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0120 (4).TIF,[],['cotton wool spots'],3,0.39697823
29,29,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0288 (7).TIF,[],['cotton wool spots'],3,0.2733074
30,30,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0174 (3).TIF,[],['cotton wool spots'],3,0.31752062
31,31,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0049.TIF,[],['cotton wool spots'],4,0.24560393
32,32,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0208 (14).TIF,[],['cotton wool spots'],3,0.37896758
33,33,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0046.TIF,[],['cotton wool spots'],3,0.33887622
34,34,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0583 (4).TIF,[],['cotton wool spots'],3,0.29497066
35,35,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0375 (5).TIF,[],['cotton wool spots'],2,0.51366794
36,36,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0051.TIF,[],['cotton wool spots'],3,0.32700497
37,37,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0052.TIF,[],['cotton wool spots'],3,0.2524896
38,38,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0078 (9).TIF,[],['cotton wool spots'],3,0.42832437
39,39,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0242 (11).TIF,[],['cotton wool spots'],3,0.35612047
40,40,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0858 (2).TIF,[],['cotton wool spots'],3,0.28588307
41,41,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0518 (6).TIF,[],['cotton wool spots'],2,0.574571
42,42,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0215 (5).TIF,[],['cotton wool spots'],3,0.32400614
43,43,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0314 (9).TIF,[],['cotton wool spots'],3,0.48115078
44,44,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0597 (5).TIF,[],['cotton wool spots'],3,0.44243598
45,45,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0584 (5).TIF,[],['cotton wool spots'],3,0.27417263
46,46,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0302 (6).TIF,[],['cotton wool spots'],3,0.48553953
47,47,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0095 (6).TIF,[],['cotton wool spots'],3,0.4161142
48,48,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0206 (13).TIF,[],['cotton wool spots'],3,0.45004338
49,49,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0534 (4).TIF,[],['cotton wool spots'],3,0.25949347
50,50,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0857 (2).TIF,[],['cotton wool spots'],3,0.27635255
51,51,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0519 (4).TIF,[],['cotton wool spots'],3,0.4838063
52,52,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0774 (2).TIF,[],['cotton wool spots'],2,0.5318984
53,53,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0294 (10).TIF,[],['cotton wool spots'],3,0.3492417
54,54,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0512 (3).TIF,[],['cotton wool spots'],2,0.58069456
55,55,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0073 (10).TIF,[],['cotton wool spots'],3,0.42397088
56,56,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0071 (9).TIF,[],['cotton wool spots'],1,0.8145001
57,57,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0977.TIF,[],['cotton wool spots'],3,0.37437922
58,58,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0856 (2).TIF,[],['cotton wool spots'],3,0.43862003
59,59,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0072 (11).TIF,[],['cotton wool spots'],3,0.34264642
60,60,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0413 (8).TIF,[],['cotton wool spots'],3,0.3142859
61,61,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0034 (6).TIF,[],['cotton wool spots'],1,0.8145001
62,62,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0307 (8).TIF,[],['cotton wool spots'],2,0.5063166
63,63,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0214 (9).TIF,[],['cotton wool spots'],3,0.30944267
64,64,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0508 (3).TIF,[],['cotton wool spots'],3,0.36814943
65,65,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0296 (8).TIF,[],['cotton wool spots'],3,0.44431543
66,66,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0050.TIF,[],['cotton wool spots'],3,0.29555258
67,67,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0004 (16).TIF,[],['cotton wool spots'],2,0.73728067
68,68,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0246 (18).TIF,[],['cotton wool spots'],3,0.3763829
69,69,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0057 (9).TIF,[],['cotton wool spots'],2,0.70796573
70,70,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0513 (3).TIF,[],['cotton wool spots'],3,0.38043955
71,71,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0052 (8).TIF,[],['cotton wool spots'],3,0.27818176
72,72,33_DR1-2/DR1-images-by-lesions/Cotton-wool Spots/IMG0409 (7).TIF,[],['cotton wool spots'],3,0.42170104
73,73,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000585.JPG,[],['cotton wool spots'],3,0.43736714
74,74,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM001082.JPG,[],['cotton wool spots'],3,0.45703417
75,75,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000977.JPG,[],['cotton wool spots'],2,0.5312426
76,76,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000757.JPG,[],['cotton wool spots'],3,0.3659161
77,77,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000928.JPG,[],['cotton wool spots'],1,1.0
78,78,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000555.JPG,[],['cotton wool spots'],2,0.5597146
79,79,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000275.JPG,[],['cotton wool spots'],3,0.41303
80,80,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000812.JPG,[],['cotton wool spots'],3,0.49903187
81,81,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000273.JPG,[],['cotton wool spots'],3,0.36174762
82,82,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000981.JPG,[],['cotton wool spots'],2,0.6266095
83,83,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000929.JPG,[],['cotton wool spots'],2,0.66579956
84,84,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000306.JPG,[],['cotton wool spots'],2,0.6211254
85,85,33_DR1-2/DR2-images-by-lesions/Cotton-wool Spots/IM000980.JPG,[],['cotton wool spots'],2,0.5574958
