,Unnamed: 0,image,atributes,categories,stage,img_norm_r
0,0,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2866.jpg,[],['age related macular degeneration'],1,0.20531504
1,1,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1647.jpg,[],['age related macular degeneration'],1,0.3342887
2,2,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1088.jpg,[],['age related macular degeneration'],1,0.30085945
3,3,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1241.jpg,[],['age related macular degeneration'],1,0.3817542
4,4,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1852.jpg,[],['age related macular degeneration'],1,0.16098194
5,5,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2527.jpg,[],['age related macular degeneration'],1,0.17813435
6,6,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1346.jpg,[],['age related macular degeneration'],1,0.2870919
7,7,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1928.jpg,[],['age related macular degeneration'],1,0.3525423
8,8,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2076.jpg,[],['age related macular degeneration'],1,0.18068409
9,9,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2048.jpg,[],['age related macular degeneration'],1,0.2657745
10,10,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1165.jpg,[],['age related macular degeneration'],1,0.28211895
11,11,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3013.jpg,[],['age related macular degeneration'],1,0.3100135
12,12,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1964.jpg,[],['age related macular degeneration'],1,0.20812637
13,13,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1966.jpg,[],['age related macular degeneration'],1,0.46795127
14,14,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3244.jpg,[],['age related macular degeneration'],1,0.3276004
15,15,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2790.jpg,[],['age related macular degeneration'],1,0.17128956
16,16,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2630.jpg,[],['age related macular degeneration'],1,0.47913277
17,17,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2349.jpg,[],['age related macular degeneration'],1,0.2590967
18,18,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1240.jpg,[],['age related macular degeneration'],1,0.49765548
19,19,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1342.jpg,[],['age related macular degeneration'],1,0.29690725
20,20,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1107.jpg,[],['age related macular degeneration'],1,0.29506028
21,21,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3227.jpg,[],['age related macular degeneration'],1,0.2797807
22,22,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1070.jpg,[],['age related macular degeneration'],1,0.26425833
23,23,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2297.jpg,[],['age related macular degeneration'],1,0.15089287
24,24,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1055.jpg,[],['age related macular degeneration'],1,0.17237513
25,25,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2111.jpg,[],['age related macular degeneration'],1,0.29651064
26,26,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2460.jpg,[],['age related macular degeneration'],1,0.34993768
27,27,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3080.jpg,[],['age related macular degeneration'],1,0.25197798
28,28,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2853.jpg,[],['age related macular degeneration'],1,0.33143786
29,29,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2705.jpg,[],['age related macular degeneration'],1,0.24563676
30,30,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3118.jpg,[],['age related macular degeneration'],1,0.30713743
31,31,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1769.jpg,[],['age related macular degeneration'],1,0.18560961
32,32,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1065.jpg,[],['age related macular degeneration'],1,0.18320982
33,33,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1710.jpg,[],['age related macular degeneration'],1,0.20707008
34,34,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2943.jpg,[],['age related macular degeneration'],1,0.25095195
35,35,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3131.jpg,[],['age related macular degeneration'],1,0.60664636
36,36,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2203.jpg,[],['age related macular degeneration'],1,0.2703724
37,37,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1831.jpg,[],['age related macular degeneration'],1,0.092449225
38,38,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1060.jpg,[],['age related macular degeneration'],1,0.34365097
39,39,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2756.jpg,[],['age related macular degeneration'],1,0.3261107
40,40,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1193.jpg,[],['age related macular degeneration'],1,0.2697907
41,41,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2079.jpg,[],['age related macular degeneration'],1,0.25393337
42,42,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1654.jpg,[],['age related macular degeneration'],1,0.108350046
43,43,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3126.jpg,[],['age related macular degeneration'],1,0.32772592
44,44,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1151.jpg,[],['age related macular degeneration'],1,0.27856195
45,45,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2112.jpg,[],['age related macular degeneration'],1,0.1148468
46,46,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2380.jpg,[],['age related macular degeneration'],1,0.12073321
47,47,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2451.jpg,[],['age related macular degeneration'],1,0.16508016
48,48,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1806.jpg,[],['age related macular degeneration'],1,0.13378689
49,49,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2524.jpg,[],['age related macular degeneration'],1,0.35110015
50,50,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2566.jpg,[],['age related macular degeneration'],1,0.5773349
51,51,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2909.jpg,[],['age related macular degeneration'],1,0.5249405
52,52,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3112.jpg,[],['age related macular degeneration'],1,0.2921347
53,53,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2587.jpg,[],['age related macular degeneration'],1,0.60209614
54,54,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2499.jpg,[],['age related macular degeneration'],1,0.3426997
55,55,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3273.jpg,[],['age related macular degeneration'],1,0.32640624
56,56,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1954.jpg,[],['age related macular degeneration'],1,0.36378813
57,57,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1025.jpg,[],['age related macular degeneration'],1,0.41317227
58,58,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1310.jpg,[],['age related macular degeneration'],1,0.15372124
59,59,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1161.jpg,[],['age related macular degeneration'],1,0.34032458
60,60,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1904.jpg,[],['age related macular degeneration'],1,0.31159237
61,61,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1295.jpg,[],['age related macular degeneration'],1,0.14838351
62,62,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1872.jpg,[],['age related macular degeneration'],1,0.2681839
63,63,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2371.jpg,[],['age related macular degeneration'],1,0.10237653
64,64,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1917.jpg,[],['age related macular degeneration'],1,0.3533289
65,65,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2783.jpg,[],['age related macular degeneration'],1,0.31718042
66,66,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1632.jpg,[],['age related macular degeneration'],1,0.27829292
67,67,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2205.jpg,[],['age related macular degeneration'],1,0.221929
68,68,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1791.jpg,[],['age related macular degeneration'],1,0.29104948
69,69,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2530.jpg,[],['age related macular degeneration'],1,0.16034795
70,70,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1069.jpg,[],['age related macular degeneration'],1,0.22775875
71,71,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1550.jpg,[],['age related macular degeneration'],1,0.24491897
72,72,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2716.jpg,[],['age related macular degeneration'],1,0.23050573
73,73,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2392.jpg,[],['age related macular degeneration'],1,0.25979963
74,74,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_1685.jpg,[],['age related macular degeneration'],1,0.17859435
75,75,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_2239.jpg,[],['age related macular degeneration'],1,0.2922445
76,76,OCT01_RetinalOCT_C8/RetinalOCT_Dataset/train/AMD/amd_train_3092.jpg,[],['age related macular degeneration'],1,0.27131212
